Bilibala Private Room,https://www.hellotoby.com/zh-hk/biz/bilibala-private-room-觀塘?source=store-list,觀塘偉業街97號榮韶工業大廈4樓,營業中,68883099
Party de Paris,https://www.hellotoby.com/zh-hk/biz/party-de-paris-觀塘?source=store-list,觀塘敬業街65-67號敬運工業大廈,營業中,67637276
Mini Party,https://www.hellotoby.com/zh-hk/biz/mini-party-觀塘?source=store-list,九龍觀塘成業街16號怡生工業中心C座7樓32室,營業中,96572831
Adelaide Party Room,https://www.hellotoby.com/zh-hk/biz/adelaide-party-room-觀塘?source=store-list,觀塘巧明街99號巧明工廠大廈C座9樓C2,營業中,51386300
BLACK MAXI HOUSE,https://www.hellotoby.com/zh-hk/biz/black-maxi-house-尖沙咀?source=store-list,尖沙咀加連威老道30A號4樓A室,營業中,51628422
UC Party Home,https://www.hellotoby.com/zh-hk/biz/uc-party-home-觀塘?source=store-list,觀塘巧明街 199-121 號 年運工業大廈 13樓 D室,營業中,52838681
宮廠Party Room,https://www.hellotoby.com/zh-hk/biz/industrial-palace-宮廠-party-room-油塘?source=store-list,油塘茶果嶺道610號生利工業大廈3樓302室,,55394247
Cradle BBQ Party,https://www.hellotoby.com/zh-hk/biz/cradle-party-荃灣?source=store-list,荃灣柴灣角街35-35號裕豐工業大廈,營業中,95617900
Player One VR Arena,https://www.hellotoby.com/zh-hk/biz/playerone-荔枝角-1?source=store-list,荔枝角長沙灣道883號億利工業中心,營業中,51658268
Parties,https://www.hellotoby.com/zh-hk/biz/parties-旺角?source=store-list,九龍旺角彌敦道 728-730 號廣安銀行分行大廈 14 樓 B 室(旺角地鐵站 B3 出口),營業中,92850086
GG Party - Home家居主題,https://www.hellotoby.com/zh-hk/biz/gg-party-葵涌-1?source=store-list,葵昌路50號葵昌中心,營業中,65821511
微微工房 Auxano House,https://www.hellotoby.com/zh-hk/biz/微微工房-auxano-house-荔枝角-1?source=store-list,九龍荔枝角青山道608號榮吉工業大廈A座503室,營業中,59918085
Never Sleep Party,https://www.hellotoby.com/zh-hk/biz/never-sleep-party-葵涌?source=store-list,葵涌葵昌路50號葵昌中心3樓301室,營業中,92354645
Chill Grill,https://www.hellotoby.com/zh-hk/biz/chill-grill-荃灣?source=store-list,荃灣沙咀道40-50號榮豐工業大廈,營業中,64206889
Your Home,https://www.hellotoby.com/zh-hk/biz/your-home-party-house-場地出租?source=store-list,"3/F, 512 Lockhart Road, Causeway Bay",,68984692
Nowheres Party,https://www.hellotoby.com/zh-hk/biz/nowheres-party-觀塘?source=store-list,觀塘成業街15號成運工業大廈4/F410室,營業中,94446344
超齡 Chilling Party & Studio,https://www.hellotoby.com/zh-hk/biz/花見-blossom-kitchen-studio-葵涌?source=store-list,葵涌大連排道 144-150號 金豐工業大廈 第二座,營業中,64720296
The One Place,https://www.hellotoby.com/zh-hk/biz/the-one-place-火炭?source=store-list,火炭坳背灣街38-40號華衛工貿中心1402室,營業中,64688117
Resalaser HK,https://www.hellotoby.com/zh-hk/biz/resalaser-hk-觀塘?source=store-list,年運工業大廈 觀塘巧明街119-121號 2樓C-D室  ,休息中,35800030
8090 premium,https://www.hellotoby.com/zh-hk/biz/8090-premium-觀塘?source=store-list,觀塘工業中心3期10樓D室,營業中,67370100
INS venue,https://www.hellotoby.com/zh-hk/biz/ins-venue-觀塘?source=store-list,觀塘成業街19-21號成運工業大廈11樓1104室,休息中,68790340
Partyland,https://www.hellotoby.com/zh-hk/biz/partyland-觀塘?source=store-list,官塘開源道55號開聯工業中心A座 1419室,,59318688
GG Party - PUBG主題,https://www.hellotoby.com/zh-hk/biz/gg-party-葵涌?source=store-list,葵涌工業街17-21號,營業中,65821511
After Journey Party,https://www.hellotoby.com/zh-hk/biz/after-journey-party-九龍灣?source=store-list,九龍灣宏開道 17順發工業中心11 樓09 室,營業中,59880220
Mahjong.24,https://www.hellotoby.com/zh-hk/biz/yolo-party-room-觀塘?source=store-list,新蒲崗,營業中,51340223
Room 8 Studio,https://www.hellotoby.com/zh-hk/biz/room-8-studio-觀塘?source=store-list,觀塘 興業街 ​,營業中,96411101
Party King 派對王,https://www.hellotoby.com/zh-hk/biz/party-king-派對王-旺角?source=store-list,旺角塘尾道54至58號永利工業大廈2樓203室,,57072318
Mini Party Plus,https://www.hellotoby.com/zh-hk/biz/mini-party-plus-觀塘?source=store-list,觀塘成業街16號怡生工業中心C座3樓6室,營業中,96572831
Login Party,https://www.hellotoby.com/zh-hk/biz/login-party-荔枝角?source=store-list,,,
All Day Party Room,https://www.hellotoby.com/zh-hk/biz/all-day-party-room-佐敦?source=store-list,九龍佐敦吳松街115利廣商業中心,營業中,55840142
Party One,https://www.hellotoby.com/zh-hk/biz/party-one-旺角?source=store-list,旺角塘尾道60至62號福康工業大廈1106室,營業中,53011001
J1 Party House,https://www.hellotoby.com/zh-hk/biz/j1-party-house-觀塘?source=store-list,"觀塘,成業街19-21號,成業工業大廈,4樓10室",營業中,53377559
Tencent WeStart,https://www.hellotoby.com/zh-hk/biz/westart-觀塘?source=store-list,香港觀塘鴻圖道75號KOHO 6樓,,22044388
Party Fun 月球房,https://www.hellotoby.com/zh-hk/biz/party-fun-旺角?source=store-list,九龍旺角廣東道900-904號 昌華商業大廈 2B室,營業中,61303080
My Home,https://www.hellotoby.com/zh-hk/biz/my-home-天后?source=store-list,銅鑼灣駱克道510號3樓,,68984692
小精靈派對Pokemon Party,https://www.hellotoby.com/zh-hk/biz/小精靈派對pokemon-party-葵涌?source=store-list,葵興華星街華達工業中心,營業中,69924167
C-Dwell Party Room,https://www.hellotoby.com/zh-hk/biz/c-d-well-party-room-荃灣?source=store-list,荃灣沙咀57號荃運工業中心二期,營業中,52221872
Buddy Buddy Home (觀塘店),https://www.hellotoby.com/zh-hk/biz/buddy-buddy-home-觀塘店-觀塘-1?source=store-list,觀塘巧明街(詳細地址將於預訂後提供),營業中,90970570
Party In Mind,https://www.hellotoby.com/zh-hk/biz/party-in-mind-九龍灣?source=store-list,九龍灣金漢工業大廈10樓(詳細地址預約後提供),營業中,68758355
Green BBQ Party,https://www.hellotoby.com/zh-hk/biz/cradle-green-荃灣?source=store-list,荃灣柴灣角街66 號金熊工業中心,營業中,95617900
Funta,https://www.hellotoby.com/zh-hk/biz/funta-荔枝角?source=store-list,荔枝角長沙灣道883號億利工業中心6樓609室,,57439282
Partygo,https://www.hellotoby.com/zh-hk/biz/partygo-荔枝角?source=store-list,荔枝角荔枝角道808號好運工業中心,營業中,63436689
Buddy Buddy Home,https://www.hellotoby.com/zh-hk/biz/buddy-buddy-home-荃灣?source=store-list,荃灣沙咀道 40-50號榮豐工業中心25 樓01 室,營業中,90970570
小房舍 Little Rooms by MG,https://www.hellotoby.com/zh-hk/biz/little-rooms-by-mg-銅鑼灣?source=store-list,銅鑼灣渣甸街人人大廈1樓,休息中,57078851
920 Party,https://www.hellotoby.com/zh-hk/biz/920-party-荃灣?source=store-list,荃灣荃運工業中心二期,營業中,54223380
Chillland,https://www.hellotoby.com/zh-hk/biz/chillland-尖沙咀-3?source=store-list,尖沙咀寶勒巷22-24號雲龍商業大廈17及18樓連天台,營業中,91698013
NN Club,https://www.hellotoby.com/zh-hk/biz/nn-club-觀塘?source=store-list,"觀塘開源道47號凱源工業大廈5樓J室, F室",營業中,94222696
Play Yeah Partyland,https://www.hellotoby.com/zh-hk/biz/play-yeah-partyland-荔枝角?source=store-list,長沙灣道883號億利工業中心 ,營業中,51184630
On Time Hub,https://www.hellotoby.com/zh-hk/biz/cook-to-gather-飯局-上環?source=store-list,上環蘇杭街93號,營業中,67563824
Party Fun W Dream Party,https://www.hellotoby.com/zh-hk/biz/w-deam-party-荔枝角?source=store-list,山東街1號,,91635812
Chalk Party,https://www.hellotoby.com/zh-hk/biz/chalk-party-中環?source=store-list,中環蘭桂坊12號5/F,休息中,51175092
BALL ROOM KT 駱駝漆,https://www.hellotoby.com/zh-hk/biz/ball-room-kt-駱駝漆-觀塘?source=store-list,觀塘開源道62號駱駝漆工業大廈1座10樓A室,營業中,54054579
Party Fun Party Shop,https://www.hellotoby.com/zh-hk/biz/party-fun-18-fun-旺角-1?source=store-list,旺角花園街2_16號好景商業中心28樓,,46111336
PanMen Kitchen Party Room,https://www.hellotoby.com/zh-hk/biz/panmen-kitchen-party-room-觀塘?source=store-list,觀塘工業中心三期,,68797169
Party Fun XX Party,https://www.hellotoby.com/zh-hk/biz/party-fun-xx-party-旺角?source=store-list,旺角好景商業中心10樓01D室,,62036803
